Series Name,Series Code,Country Name,Country Code,2015 [YR2015]
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,New Zealand,NZL,9.28344345
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Nicaragua,NIC,7.96303272
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Niger,NER,5.34745932
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Nigeria,NGA,3.58194995
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,North America,NAC,16.0395782827803
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,North Macedonia,MKD,6.34
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Northern Mariana Islands,MNP,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Norway,NOR,10.07
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Not classified,INX,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,OECD members,OED,12.2375036414102
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Oman,OMN,4.07826233
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Other small states,OSS,6.20126417936861
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Pacific island small states,PSS,4.93403211887927
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Pakistan,PAK,2.45764351
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Palau,PLW,11.33741093
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Panama,PAN,7.18962574
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Papua New Guinea,PNG,1.81881714
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Paraguay,PRY,6.69165802
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Peru,PER,4.96122217
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Philippines,PHL,3.9
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Poland,POL,6.4
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Portugal,PRT,9.32
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Post-demographic dividend,PST,12.6968705733054
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Pre-demographic dividend,PRE,3.99053718271287
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Puerto Rico,PRI,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Qatar,QAT,3.63581347
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Romania,ROU,4.94
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Russian Federation,RUS,5.3
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Rwanda,RWA,6.65446424
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Samoa,WSM,6.21226454
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,San Marino,SMR,8.43315315
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Sao Tome and Principe,STP,5.34009647
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Saudi Arabia,SAU,5.86202002
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Senegal,SEN,4.37789631
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Serbia,SRB,8.81319809
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Seychelles,SYC,4.37339973
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Sierra Leone,SLE,19.65816307
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Singapore,SGP,4.18069839
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Sint Maarten (Dutch part),SXM,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Slovak Republic,SVK,6.76
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Slovenia,SVN,8.5
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Small states,SST,5.9777362204799
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Solomon Islands,SLB,4.44578695
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Somalia,SOM,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,South Africa,ZAF,8.05304241
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,South Asia,SAS,3.45242564845571
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,South Asia (IDA & IBRD),TSA,3.45242564845571
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,South Sudan,SSD,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Spain,ESP,9.12207508
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Sri Lanka,LKA,3.68
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,St. Kitts and Nevis,KNA,5.11798382
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,St. Lucia,LCA,4.51419878
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,St. Martin (French part),MAF,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,St. Vincent and the Grenadines,VCT,4.11412001
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Sub-Saharan Africa,SSF,4.99506297255211
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Sub-Saharan Africa (excluding high income),SSA,4.99560360990805
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Sub-Saharan Africa (IDA & IBRD countries),TSS,4.99506297255211
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Sudan,SDN,5.81112576
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Suriname,SUR,5.80808163
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Sweden,SWE,10.8
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Switzerland,CHE,10.77887917
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Syrian Arab Republic,SYR,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Tajikistan,TJK,6.91
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Tanzania,TZA,3.64969945
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Thailand,THA,3.8522861
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Timor-Leste,TLS,7.67216587
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Togo,TGO,4.95647097
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Tonga,TON,4.47327423
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Trinidad and Tobago,TTO,5.65026045
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Tunisia,TUN,6.21339941
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Turkiye,TUR,4.12
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Turkmenistan,TKM,5.11721087
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Turks and Caicos Islands,TCA,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Tuvalu,TUV,13.52732944
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Uganda,UGA,5.0745697
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Ukraine,UKR,7.78
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,United Arab Emirates,ARE,3.46609354
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,United Kingdom,GBR,9.79776669
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,United States,USA,16.49056816
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Upper middle income,UMC,5.58059721313096
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Uruguay,URY,8.29225731
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Uzbekistan,UZB,4.74
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Vanuatu,VUT,4.32168293
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,"Venezuela, RB",VEN,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Viet Nam,VNM,4.71140909
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Virgin Islands (U.S.),VIR,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,West Bank and Gaza,PSE,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,World,WLD,9.73196470641498
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,"Yemen, Rep.",YEM,4.25285673
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Zambia,ZMB,4.42974281
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Zimbabwe,ZWE,7.44982719
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Afghanistan,AFG,0.44
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Africa Eastern and Southern,AFE,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Africa Western and Central,AFW,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Albania,ALB,2.85
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Algeria,DZA,1.64
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,American Samoa,ASM,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Andorra,AND,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Angola,AGO,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Antigua and Barbuda,ATG,4.01
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Arab World,ARB,1.3591868119276
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Argentina,ARG,4.97
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Armenia,ARM,4.35
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Aruba,ABW,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Australia,AUS,3.82
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Austria,AUT,7.54
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Azerbaijan,AZE,4.08
